,car_brand,carprice,kms_driven,fuel_type,city,year_of_manufacture
99,Maruti,445000.0,44681.0,Petrol,Hyderabad,2012
100,Renault,299000.0,65428.0,Petrol,Pune,2016
101,Hyundai,391000.0,84344.0,Petrol,Delhi,2013
102,Maruti,890000.0,113600.0,Diesel,Thane,2018
103,Maruti,599000.0,17778.0,eco_fuel,Delhi,2020
104,Maruti,580000.0,33269.0,Petrol,Kolkata,2018
105,MG,1925000.0,15222.0,Petrol,Bangalore,2021
106,Honda,925000.0,87139.0,Diesel,Hyderabad,2017
107,Maruti,340000.0,69551.0,Petrol,Delhi,2013
108,Hyundai,484999.99999999994,72500.0,Diesel,Thane,2013
109,Maruti,633000.0,28899.0,Petrol,Delhi,2018
110,Maruti,396000.0,13595.0,Petrol,Kolkata,2017
111,Ford,2475000.0,83000.0,Diesel,Mumbai,2016
112,Hyundai,775000.0,19418.0,Petrol,Bangalore,2019
113,Volvo,1200000.0,50965.0,Diesel,Kolkata,2015
114,Ford,491000.0,74000.0,Diesel,Thane,2014
115,Hyundai,425000.0,21707.0,Diesel,Kolkata,2017
116,Mahindra,740000.0,83555.0,Diesel,Hyderabad,2013
117,Hyundai,585000.0,37000.0,Petrol,Mumbai,2015
118,Hyundai,385000.0,43000.0,Petrol,Noida,2014
119,Maruti,690000.0,21769.0,Petrol,Mumbai,2017
120,BMW,4250000.0,32000.0,Petrol,Mumbai,2018
121,Maruti,799000.0,14886.0,Petrol,Mumbai,2018
122,MG,1889999.9999999998,6602.0,Petrol,Ahmedabad,2020
123,Maruti,385000.0,58000.0,eco_fuel,Thane,2014
124,Maruti,407000.0,63339.0,eco_fuel,Pune,2014
125,Maruti,830000.0000000001,4500.0,Petrol,Faridabad,2020
126,Renault,760000.0,23600.0,Petrol,Chennai,2020
127,Hyundai,955000.0000000001,17844.0,Petrol,Kolkata,2019
128,Honda,875000.0,21000.0,Petrol,Ahmedabad,2019
129,Tata,250000.0,60000.0,Diesel,Thiruvallur,2017
130,Maruti,450000.0,34530.0,Petrol,Thane,2016
131,Honda,1400000.0,117192.0,Petrol,Hyderabad,2014
132,Honda,595000.0,54000.0,Diesel,Thane,2016
133,Nissan,679000.0,38999.0,Petrol,Bangalore,2016
